[u'shower_curtain', 0.020136608, u'Chihuahua', 0.018203858, u'quilt', 0.017671114, u'crossword_puzzle', 0.015505792, u'digital_clock', 0.01475974]
[u'window_shade', 0.11693354, u'sliding_door', 0.082555614, u'window_screen', 0.053815953, u'parking_meter', 0.043161806, u'library', 0.041121665]
[u'envelope', 0.12367987, u'container_ship', 0.062037259, u'digital_clock', 0.032441135, u'whistle', 0.031767298, u'crossword_puzzle', 0.025059868]
[u'sliding_door', 0.21850355, u'shoji', 0.069675609, u'book_jacket', 0.041456539, u'window_screen', 0.041190371, u'window_shade', 0.022915326]
[u'fire_screen', 0.11883979, u'prison', 0.058289733, u'window_screen', 0.057463333, u'shower_curtain', 0.029341506, u'cleaver', 0.020323202]
[u'monitor', 0.093347445, u'shower_curtain', 0.044664148, u'oscilloscope', 0.037045009, u'handkerchief', 0.029673127, u'container_ship', 0.02872723]
[u'mosquito_net', 0.27640396, u'shower_curtain', 0.13513456, u'wardrobe', 0.084100835, u'safe', 0.078277789, u'desk', 0.052459083]
[u'window_screen', 0.051155318, u'fire_screen', 0.020549586, u'German_shepherd', 0.018490307, u'Border_terrier', 0.017383363, u'dining_table', 0.015755432]
[u'window_screen', 0.070582494, u'balance_beam', 0.045745566, u'digital_clock', 0.02958986, u'fire_screen', 0.023654342, u'oscilloscope', 0.023645004]
[u'window_screen', 0.037572548, u'digital_clock', 0.021004803, u'oscilloscope', 0.017900838, u'crossword_puzzle', 0.016785584, u'solar_dish', 0.016193109]
[u'sliding_door', 0.32558629, u'window_shade', 0.21473198, u'wardrobe', 0.10788489, u'shoji', 0.058278952, u'refrigerator', 0.031014478]
[u'shower_curtain', 0.10383286, u'handkerchief', 0.031337902, u'doormat', 0.017916702, u'maze', 0.015423559, u'quilt', 0.013513787]
[u'crossword_puzzle', 0.068906344, u'container_ship', 0.029256053, u'digital_clock', 0.023412799, u'Windsor_tie', 0.021559257, u'digital_watch', 0.021257397]
[u'container_ship', 0.51583499, u'digital_clock', 0.20239379, u'pill_bottle', 0.054672934, u'candle', 0.04068581, u'tray', 0.020922551]
[u'shower_curtain', 0.1067393, u'quilt', 0.091180794, u'prayer_rug', 0.042550988, u'maze', 0.039593969, u'Windsor_tie', 0.025957532]
[u'sliding_door', 0.15855023, u'wardrobe', 0.12482495, u'envelope', 0.039354347, u'window_screen', 0.03545142, u'desk', 0.031035598]
[u'window_screen', 0.12981655, u'tick', 0.04389843, u'lacewing', 0.022564361, u'strainer', 0.017905418, u'thimble', 0.014933757]
[u'envelope', 0.096901938, u'handkerchief', 0.091057472, u'paper_towel', 0.015148829, u'shower_curtain', 0.01451229, u'cleaver', 0.014285003]
[u'window_screen', 0.057901371, u'crossword_puzzle', 0.048220117, u'window_shade', 0.042748693, u'shoji', 0.032795526, u'oscilloscope', 0.027896605]
