[u'Band_Aid', 0.10040602, u'diaper', 0.075159162, u'hamster', 0.06293983, u'harmonica', 0.056681734, u'bath_towel', 0.033565558]
[u'bathing_cap', 0.14220555, u'swimming_trunks', 0.13107863, u'bathtub', 0.092795439, u'tub', 0.057907976, u'brassiere', 0.0567591]
[u'diaper', 0.17088839, u'sunscreen', 0.12455145, u'bikini', 0.088963516, u'lotion', 0.081488475, u'brassiere', 0.071759462]
[u'swimming_trunks', 0.10289352, u'sea_lion', 0.092335723, u'tub', 0.074078172, u'bathtub', 0.063455001, u'punching_bag', 0.021604512]
[u'web_site', 0.53466994, u'notebook', 0.072483681, u'groom', 0.055115707, u'television', 0.046572585, u'screen', 0.028088816]
[u'diaper', 0.52772939, u'swimming_trunks', 0.089239843, u'shower_cap', 0.058298867, u'brassiere', 0.020130262, u'stethoscope', 0.017471731]
[u'hand_blower', 0.25025681, u'hair_spray', 0.13563201, u'bathtub', 0.11893587, u'shower_curtain', 0.087510087, u'tub', 0.069588639]
[u'maillot', 0.10424315, u'maillot', 0.098864242, u'studio_couch', 0.078441292, u'bikini', 0.059483372, u'television', 0.045617465]
[u'bathtub', 0.0889882, u'brassiere', 0.083975308, u'tub', 0.06147911, u'lampshade', 0.040091921, u'spotlight', 0.021516792]
[u'iron', 0.10649072, u'hand_blower', 0.052860662, u'neck_brace', 0.03901254, u'dumbbell', 0.032897033, u'vacuum', 0.031077981]
[u'maillot', 0.19079304, u'bikini', 0.18441239, u'brassiere', 0.13016367, u'swimming_trunks', 0.097621582, u'miniskirt', 0.082089275]
[u'tripod', 0.71074605, u'barbell', 0.045167793, u'parallel_bars', 0.044379834, u'dumbbell', 0.029398449, u'horizontal_bar', 0.023337513]
[u'diaper', 0.14020051, u'revolver', 0.04518972, u'swimming_trunks', 0.037353229, u'sewing_machine', 0.036829893, u'bikini', 0.034929816]
[u'coho', 0.19999947, u'bulletproof_vest', 0.084953412, u'sweatshirt', 0.056931499, u'sturgeon', 0.052467592, u'tench', 0.041624673]
[u'swimming_trunks', 0.8863917, u'bikini', 0.056454439, u'maillot', 0.015847594, u'maillot', 0.0125809, u'bathing_cap', 0.0089728329]
