[u'Windsor_tie', 0.058971617, u'punching_bag', 0.037994556, u'power_drill', 0.032793596, u'suit', 0.031608474, u'lab_coat', 0.023543462]
[u'piggy_bank', 0.12317061, u'ping-pong_ball', 0.050534125, u'lotion', 0.044300057, u'bathing_cap', 0.031437915, u'pill_bottle', 0.030758547]
[u'bow_tie', 0.17408805, u'swimming_trunks', 0.16908002, u'diaper', 0.11831897, u'ice_lolly', 0.039255951, u'tub', 0.031351674]
[u'dumbbell', 0.32421842, u'maillot', 0.14331466, u'tub', 0.078668699, u'maillot', 0.078461982, u'swimming_trunks', 0.056859113]
[u'stage', 0.084421515, u'solar_dish', 0.083760791, u'bannister', 0.081319496, u'dam', 0.059988007, u'sax', 0.042236995]
[u'toyshop', 0.10198124, u'restaurant', 0.056453422, u'hoopskirt', 0.051255625, u'barbershop', 0.041964963, u'altar', 0.029367093]
[u'brassiere', 0.17542715, u'maillot', 0.13850312, u'miniskirt', 0.12781976, u'wardrobe', 0.10188659, u'maillot', 0.058673494]
[u'military_uniform', 0.14089426, u'tub', 0.06184461, u'diaper', 0.061316911, u'studio_couch', 0.054312326, u'miniskirt', 0.053957548]
[u'carousel', 0.1848557, u'comic_book', 0.15619707, u'book_jacket', 0.094264261, u'bikini', 0.023060974, u'hornbill', 0.021080814]
[u'dumbbell', 0.38059983, u'barbell', 0.12088524, u'punching_bag', 0.06472344, u'vacuum', 0.0353362, u'power_drill', 0.025305366]
[u'cliff', 0.29932609, u'swimming_trunks', 0.1562164, u'Italian_greyhound', 0.0501526, u'bikini', 0.032879025, u'bathing_cap', 0.028197657]
[u'swimming_trunks', 0.16279747, u'brassiere', 0.067992739, u'bikini', 0.064022742, u'window_shade', 0.047154516, u'gown', 0.045845669]
[u'bathtub', 0.16456233, u'tub', 0.066546731, u'hand_blower', 0.064233445, u'hair_spray', 0.058347616, u'toilet_tissue', 0.051743872]
[u'vacuum', 0.099683449, u'shoe_shop', 0.086208835, u'miniskirt', 0.057630297, u'maillot', 0.046400059, u'barbell', 0.041241918]
[u'shower_curtain', 0.12805696, u'medicine_chest', 0.10037293, u'refrigerator', 0.080069534, u'wardrobe', 0.071530975, u'sliding_door', 0.041038532]
[u'bikini', 0.20370829, u'swimming_trunks', 0.1693546, u'sunscreen', 0.15922925, u'bathing_cap', 0.044199247, u'maillot', 0.026746668]
[u'pole', 0.2656329, u'maillot', 0.20280473, u'maillot', 0.10378255, u'bikini', 0.089075468, u'crutch', 0.060250554]
[u'diaper', 0.46608189, u'swimming_trunks', 0.14226303, u'sunscreen', 0.029773122, u'bathing_cap', 0.027636725, u'dumbbell', 0.020202547]
[u'bikini', 0.31428939, u'maillot', 0.15284628, u'brassiere', 0.080859579, u'swimming_trunks', 0.065550558, u'maillot', 0.053155381]
[u'prison', 0.3467789, u'sliding_door', 0.25579506, u'window_screen', 0.082343645, u'window_shade', 0.050672788, u'pole', 0.01754933]
[u'swimming_trunks', 0.67341775, u'bikini', 0.10748953, u'sunscreen', 0.026269443, u'maillot', 0.026217086, u'maillot', 0.024864888]
[u'hair_spray', 0.055791635, u'stethoscope', 0.036014248, u'hand_blower', 0.034273557, u'lab_coat', 0.024548097, u'cellular_telephone', 0.022655318]
