[u'pot', 0.11449862, u'mortar', 0.039877426, u'cleaver', 0.038288444, u'diaper', 0.036832646, u'wooden_spoon', 0.032061882]
[u'cardigan', 0.23644428, u'miniskirt', 0.10290579, u'gown', 0.069915734, u'stole', 0.057266466, u'fur_coat', 0.048007902]
[u'studio_couch', 0.80634791, u'miniskirt', 0.056863196, u'maillot', 0.051324461, u'maillot', 0.027819306, u'tub', 0.0093823876]
[u'jersey', 0.19377227, u'maillot', 0.084381528, u'hair_spray', 0.058841437, u'whistle', 0.041260727, u'wig', 0.038428228]
[u'bath_towel', 0.21964578, u'gown', 0.18803701, u'hoopskirt', 0.16147947, u'rocking_chair', 0.08446943, u'studio_couch', 0.051760059]
[u'feather_boa', 0.12761125, u'bikini', 0.10227054, u'maillot', 0.090648033, u'swing', 0.071707226, u'pajama', 0.039936081]
[u'trench_coat', 0.10396861, u'sweatshirt', 0.053645231, u'crutch', 0.050092727, u'miniskirt', 0.037017837, u'unicycle', 0.034445304]
[u'stethoscope', 0.16405769, u'swimming_trunks', 0.14285219, u'diaper', 0.10467952, u'sunscreen', 0.040210336, u'sarong', 0.039851308]
[u'hoopskirt', 0.21016504, u'gown', 0.20874681, u'miniskirt', 0.17790183, u'overskirt', 0.12649728, u'pajama', 0.071012363]
[u'gown', 0.39507481, u'hoopskirt', 0.33458811, u'maillot', 0.051737852, u'brassiere', 0.048683651, u'maillot', 0.019070648]
[u'pajama', 0.35386649, u'quilt', 0.1334179, u'diaper', 0.10796972, u'groom', 0.042895157, u'stethoscope', 0.02994086]
[u'swimming_trunks', 0.61142033, u'diaper', 0.10768718, u'bathing_cap', 0.047919426, u'tub', 0.04160466, u'sunscreen', 0.024252016]
[u'groom', 0.33163139, u'gown', 0.10860804, u'lab_coat', 0.089580059, u'mosquito_net', 0.036835197, u'wig', 0.024364635]
[u'miniskirt', 0.33241338, u'diaper', 0.088419102, u'studio_couch', 0.052537706, u'pajama', 0.03128219, u'maillot', 0.023104085]
[u'miniskirt', 0.68271124, u'swimming_trunks', 0.041321073, u'jean', 0.02739292, u'cowboy_boot', 0.023942241, u'bikini', 0.017786274]
[u'bikini', 0.14997882, u'sunscreen', 0.11587972, u'bathing_cap', 0.075941809, u'maillot', 0.070505306, u'tub', 0.063711368]
[u'swimming_trunks', 0.41850555, u'diaper', 0.094357692, u'miniskirt', 0.092583321, u'sarong', 0.053995594, u'parallel_bars', 0.02856905]
[u'bikini', 0.22872709, u'miniskirt', 0.21089381, u'maillot', 0.15943621, u'maillot', 0.056041829, u'fur_coat', 0.050458647]
[u'brassiere', 0.47362444, u'bow_tie', 0.2238144, u'hoopskirt', 0.075704642, u'maillot', 0.049735274, u'overskirt', 0.043230705]
[u'bathtub', 0.19014914, u'toilet_tissue', 0.15427028, u'tub', 0.11364616, u'hand_blower', 0.10060246, u'bath_towel', 0.090456046]
[u'maillot', 0.42540669, u'maillot', 0.36235425, u'bikini', 0.066534199, u'miniskirt', 0.042210478, u'brassiere', 0.022163212]
[u'diaper', 0.41027194, u'neck_brace', 0.060368475, u'toilet_tissue', 0.032795765, u'miniskirt', 0.031322408, u'hoopskirt', 0.030870402]
[u'cab', 0.2137147, u'warplane', 0.16259876, u'tow_truck', 0.11071544, u'snowplow', 0.082585916, u'convertible', 0.034813482]
[u'bathtub', 0.61524707, u'tub', 0.33065295, u'diaper', 0.030143773, u'bath_towel', 0.0051964023, u'swimming_trunks', 0.0045185289]
[u'bikini', 0.24034534, u'tub', 0.091054358, u'brassiere', 0.082838915, u'maillot', 0.081807628, u'diaper', 0.081021577]
[u'bikini', 0.43217748, u'maillot', 0.10138414, u'maillot', 0.093983352, u'balance_beam', 0.089730442, u'parallel_bars', 0.050553635]
[u'diaper', 0.37726986, u'swimming_trunks', 0.049412664, u'hair_spray', 0.034828376, u'sunscreen', 0.030513138, u'tub', 0.029943099]
