[u'stretcher', 0.17560396, u'golfcart', 0.060711563, u'convertible', 0.050086681, u'sports_car', 0.041021537, u'go-kart', 0.033305999]
[u'brassiere', 0.10015871, u'sunscreen', 0.073864304, u'bikini', 0.060260393, u'maillot', 0.052633513, u'lotion', 0.046879604]
[u'pot', 0.11449862, u'mortar', 0.039877426, u'cleaver', 0.038288444, u'diaper', 0.036832646, u'wooden_spoon', 0.032061882]
[u'seat_belt', 0.20068483, u'studio_couch', 0.075260289, u'sunscreen', 0.064509943, u'limousine', 0.056752674, u'minivan', 0.047104277]
[u'studio_couch', 0.80634791, u'miniskirt', 0.056863196, u'maillot', 0.051324461, u'maillot', 0.027819306, u'tub', 0.0093823876]
[u'maillot', 0.3126578, u'brassiere', 0.16420379, u'maillot', 0.12534115, u'bikini', 0.091635458, u'miniskirt', 0.091346204]
[u'bath_towel', 0.21964578, u'gown', 0.18803701, u'hoopskirt', 0.16147947, u'rocking_chair', 0.08446943, u'studio_couch', 0.051760059]
[u'cellular_telephone', 0.11286142, u'harmonica', 0.083873533, u'binoculars', 0.049414363, u'barbershop', 0.043203387, u'hair_spray', 0.037023325]
[u'bikini', 0.34769735, u'miniskirt', 0.1239123, u'maillot', 0.10811493, u'swimming_trunks', 0.086852081, u'maillot', 0.079134643]
[u'miniskirt', 0.22759399, u'brassiere', 0.20867598, u'overskirt', 0.11210215, u'maillot', 0.087579347, u'gown', 0.077378042]
[u'trench_coat', 0.10396861, u'sweatshirt', 0.053645231, u'crutch', 0.050092727, u'miniskirt', 0.037017837, u'unicycle', 0.034445304]
[u'miniskirt', 0.60409945, u'brassiere', 0.067909099, u'bath_towel', 0.061399635, u'diaper', 0.045213103, u'maillot', 0.043923795]
[u'stethoscope', 0.16405769, u'swimming_trunks', 0.14285219, u'diaper', 0.10467952, u'sunscreen', 0.040210336, u'sarong', 0.039851308]
[u'jean', 0.15797071, u'studio_couch', 0.12292005, u'notebook', 0.079182163, u'suit', 0.051438432, u'miniskirt', 0.048043203]
[u'hoopskirt', 0.21016504, u'gown', 0.20874681, u'miniskirt', 0.17790183, u'overskirt', 0.12649728, u'pajama', 0.071012363]
[u'golfcart', 0.22227363, u'stretcher', 0.096705802, u'parallel_bars', 0.088174321, u'cradle', 0.047413558, u'tub', 0.04150302]
[u'diaper', 0.90833801, u'sunscreen', 0.019274257, u'bath_towel', 0.0078722034, u'Band_Aid', 0.0058549191, u'bonnet', 0.0055735251]
[u'groom', 0.33163139, u'gown', 0.10860804, u'lab_coat', 0.089580059, u'mosquito_net', 0.036835197, u'wig', 0.024364635]
[u'miniskirt', 0.68271124, u'swimming_trunks', 0.041321073, u'jean', 0.02739292, u'cowboy_boot', 0.023942241, u'bikini', 0.017786274]
[u'barrow', 0.19674815, u'malinois', 0.064470798, u'bloodhound', 0.061677776, u'Greater_Swiss_Mountain_dog', 0.041786838, u'canoe', 0.039706446]
[u'swimming_trunks', 0.41850555, u'diaper', 0.094357692, u'miniskirt', 0.092583321, u'sarong', 0.053995594, u'parallel_bars', 0.02856905]
[u'diaper', 0.90799099, u'bath_towel', 0.016198812, u'swimming_trunks', 0.012434411, u'Band_Aid', 0.0096545322, u'sunscreen', 0.0092496397]
[u'miniskirt', 0.91056752, u'brassiere', 0.039145902, u'maillot', 0.016648179, u'grand_piano', 0.014514945, u'bikini', 0.0037062292]
[u'miniskirt', 0.19528119, u'jean', 0.089718945, u'maillot', 0.087695368, u'gown', 0.066170029, u'brassiere', 0.045428164]
[u'miniskirt', 0.77883148, u'maillot', 0.040290862, u'jean', 0.031957343, u'brassiere', 0.031263292, u'bikini', 0.018343262]
[u'brassiere', 0.47362444, u'bow_tie', 0.2238144, u'hoopskirt', 0.075704642, u'maillot', 0.049735274, u'overskirt', 0.043230705]
[u'bikini', 0.43217748, u'maillot', 0.10138414, u'maillot', 0.093983352, u'balance_beam', 0.089730442, u'parallel_bars', 0.050553635]
[u'miniskirt', 0.69383597, u'velvet', 0.07826899, u'maillot', 0.069014728, u'maillot', 0.043808311, u'jean', 0.025004631]
[u'bonnet', 0.10989763, u'brassiere', 0.079371616, u'lipstick', 0.065443195, u'stethoscope', 0.059630197, u'wig', 0.03998347]
[u'swimming_trunks', 0.48487854, u'diaper', 0.14076859, u'bath_towel', 0.06954807, u'sunscreen', 0.044578776, u'shower_cap', 0.021278674]
[u'brassiere', 0.29641235, u'miniskirt', 0.20985533, u'sarong', 0.15933938, u'swimming_trunks', 0.080597788, u'bikini', 0.06585826]
[u'swimming_trunks', 0.79263186, u'bikini', 0.11500298, u'maillot', 0.030120179, u'bathing_cap', 0.017748838, u'maillot', 0.015204858]
[u'diaper', 0.55096775, u'bikini', 0.081475876, u'swimming_trunks', 0.045486193, u'tub', 0.032826964, u'bath_towel', 0.031350337]
[u'brassiere', 0.30471614, u'bikini', 0.24827883, u'maillot', 0.13546117, u'miniskirt', 0.055544291, u'maillot', 0.036421053]
[u'rocking_chair', 0.12862274, u'gown', 0.083221406, u'hoopskirt', 0.073317192, u'cradle', 0.061267834, u'crib', 0.059856899]
[u'bikini', 0.25360209, u'maillot', 0.14559019, u'brassiere', 0.14481086, u'tub', 0.097367734, u'bath_towel', 0.072608203]
[u'miniskirt', 0.53318012, u'hoopskirt', 0.048386835, u'maillot', 0.031652298, u'overskirt', 0.02858001, u'cowboy_boot', 0.026732046]
[u'printer', 0.096162051, u'limousine', 0.089306735, u'photocopier', 0.077590659, u'washer', 0.063826472, u'vacuum', 0.058918361]
[u'flute', 0.44332629, u'cornet', 0.088710591, u'oboe', 0.07007838, u'trombone', 0.053076796, u'harmonica', 0.039898489]
[u'brassiere', 0.40515614, u'diaper', 0.15229507, u'hoopskirt', 0.099862583, u'bow_tie', 0.09618824, u'overskirt', 0.024605315]
[u'dishwasher', 0.15049182, u'gown', 0.062537707, u'groom', 0.045980103, u'toilet_tissue', 0.043504059, u'miniskirt', 0.034813553]
[u'balance_beam', 0.2153118, u'tub', 0.20082477, u'bathtub', 0.11421903, u'swimming_trunks', 0.035609264, u'parallel_bars', 0.035116084]
[u'diaper', 0.39150161, u'tub', 0.087071784, u'bathtub', 0.078035906, u'brassiere', 0.075781338, u'bathing_cap', 0.059677195]
[u'miniskirt', 0.98296976, u'brassiere', 0.0037776663, u'jean', 0.0024949568, u'maillot', 0.0020643461, u'cowboy_boot', 0.0017323662]
[u'diaper', 0.27093065, u'miniskirt', 0.10646651, u'tub', 0.092736773, u'pajama', 0.04830559, u'bathtub', 0.045646574]
[u'diaper', 0.55247688, u'maillot', 0.078835055, u'miniskirt', 0.047243979, u'bikini', 0.046089839, u'bath_towel', 0.041242905]
[u'tub', 0.21882008, u'diaper', 0.19496888, u'swimming_trunks', 0.10407616, u'bathtub', 0.091856532, u'bikini', 0.083129697]
[u'toilet_tissue', 0.20700902, u'bathtub', 0.12576164, u'gown', 0.11248694, u'paper_towel', 0.074445248, u'tub', 0.062500551]
[u'barbell', 0.45224631, u'dumbbell', 0.27041689, u'balance_beam', 0.048707332, u'swing', 0.036040455, u'horizontal_bar', 0.035985366]
[u'miniskirt', 0.44769463, u'hand_blower', 0.048459731, u'power_drill', 0.039191041, u'vacuum', 0.029733321, u'dishwasher', 0.029123016]
[u'miniskirt', 0.36772078, u'maillot', 0.12846331, u'maillot', 0.052896749, u'gown', 0.04722333, u'velvet', 0.042229895]
[u'miniskirt', 0.21251413, u'balance_beam', 0.20109038, u'parallel_bars', 0.097137429, u'horizontal_bar', 0.086848922, u'maillot', 0.060814943]
[u'miniskirt', 0.30809098, u'brassiere', 0.13644427, u'diaper', 0.090384521, u'dumbbell', 0.052337091, u'swimming_trunks', 0.044290215]
[u'gar', 0.060798131, u'balance_beam', 0.052686971, u'swimming_trunks', 0.052417286, u'unicycle', 0.043364238, u'parallel_bars', 0.040457919]
[u'parallel_bars', 0.237767, u'horizontal_bar', 0.14234118, u'balance_beam', 0.088161044, u'bow', 0.060740978, u'pole', 0.038228415]
[u'miniskirt', 0.53973448, u'hoopskirt', 0.051549412, u'pajama', 0.045408629, u'stole', 0.035630085, u'overskirt', 0.032000035]
[u'swimming_trunks', 0.81474501, u'diaper', 0.036250673, u'bathing_cap', 0.025187215, u'maillot', 0.012153368, u'bikini', 0.0107192]
[u'bikini', 0.82908738, u'brassiere', 0.10231122, u'maillot', 0.036453482, u'sarong', 0.022726038, u'tub', 0.001577909]
[u'pajama', 0.39690417, u'studio_couch', 0.044517528, u'jean', 0.033719532, u'sleeping_bag', 0.030853877, u'groom', 0.022921715]
[u'seat_belt', 0.16574733, u'neck_brace', 0.10294862, u'motor_scooter', 0.091934703, u'limousine', 0.067138262, u'car_mirror', 0.066722803]
