[u'shower_curtain', 0.42863816, u'sliding_door', 0.032252423, u'window_shade', 0.022696126, u'cash_machine', 0.01869514, u'wall_clock', 0.018310243]
[u'shower_curtain', 0.22619697, u'washbasin', 0.031672448, u'sliding_door', 0.030946134, u'cash_machine', 0.019242628, u'window_shade', 0.016634962]
[u'crossword_puzzle', 0.056895562, u'traffic_light', 0.036037821, u'maze', 0.032923002, u'digital_clock', 0.031477802, u'container_ship', 0.029299505]
[u'shower_curtain', 0.15115561, u'washbasin', 0.024907839, u'window_screen', 0.024010044, u'cash_machine', 0.015638962, u'space_shuttle', 0.015140202]
[u'crossword_puzzle', 0.069819853, u'shower_curtain', 0.06367816, u'wall_clock', 0.026313363, u'prayer_rug', 0.016562067, u'Windsor_tie', 0.016539911]
[u'digital_clock', 0.098307028, u'maze', 0.077030979, u'spotlight', 0.056293651, u'shower_curtain', 0.054519579, u'bannister', 0.032710604]
[u'shower_curtain', 0.10520224, u'crossword_puzzle', 0.03146917, u'jigsaw_puzzle', 0.030683616, u'wall_clock', 0.019486262, u'airship', 0.01831466]
[u'picket_fence', 0.16868226, u'church', 0.079863168, u'beacon', 0.052878935, u'bell_cote', 0.033716574, u'analog_clock', 0.031623866]
[u'shower_curtain', 0.064164542, u'washbasin', 0.044291057, u'traffic_light', 0.044123642, u'window_shade', 0.029684525, u'wall_clock', 0.021575056]
[u'shower_curtain', 0.19800958, u'cash_machine', 0.034386862, u'toilet_seat', 0.025003055, u'digital_clock', 0.023309456, u'crossword_puzzle', 0.020972989]
[u'shower_curtain', 0.42284471, u'washbasin', 0.046770707, u'wall_clock', 0.027271891, u'toilet_seat', 0.014961587, u'cash_machine', 0.012533691]
[u'pillow', 0.25254729, u'Christmas_stocking', 0.08879222, u'shower_curtain', 0.064953163, u'maze', 0.059906662, u'prayer_rug', 0.049390372]
[u'digital_clock', 0.48213005, u'picket_fence', 0.037147008, u'digital_watch', 0.035663407, u'scoreboard', 0.032626703, u'sliding_door', 0.022963328]
[u'crossword_puzzle', 0.12894566, u'prayer_rug', 0.070830695, u'Windsor_tie', 0.069069423, u'quilt', 0.056250159, u'maze', 0.040273797]
[u'crossword_puzzle', 0.46594298, u'shower_curtain', 0.041152552, u'window_screen', 0.02121371, u'digital_clock', 0.018282715, u'traffic_light', 0.017212521]
[u'shower_curtain', 0.33011788, u'washbasin', 0.027748691, u'toilet_seat', 0.025511853, u'doormat', 0.022023331, u'quilt', 0.02118752]
[u'shower_curtain', 0.30091825, u'washbasin', 0.04861426, u'wall_clock', 0.043804292, u'digital_clock', 0.024749897, u'prayer_rug', 0.023309533]
[u'shower_curtain', 0.25141904, u'doormat', 0.034246851, u'crossword_puzzle', 0.022597888, u'prayer_rug', 0.021571601, u'wall_clock', 0.021317948]
[u'shower_curtain', 0.30419564, u'window_shade', 0.12164095, u'wardrobe', 0.098715492, u'washbasin', 0.090901345, u'sliding_door', 0.037507627]
[u'sliding_door', 0.11232962, u'window_screen', 0.083577409, u'window_shade', 0.072983421, u'washbasin', 0.041117944, u'cash_machine', 0.028619051]
[u'swimming_trunks', 0.319538, u'Weimaraner', 0.2022251, u'bikini', 0.16357069, u'Italian_greyhound', 0.16239391, u'bathing_cap', 0.026383843]
[u'shower_curtain', 0.28494728, u'envelope', 0.082699701, u'sliding_door', 0.02812802, u'cash_machine', 0.025911411, u'washbasin', 0.025750158]
[u'beacon', 0.39832529, u'crane', 0.074039191, u'pier', 0.038379811, u'rapeseed', 0.037710488, u'seashore', 0.036552645]
[u'Windsor_tie', 0.18192233, u'prayer_rug', 0.092993073, u'shower_curtain', 0.047921192, u'book_jacket', 0.046524327, u'envelope', 0.033770945]
[u'swimming_trunks', 0.74223149, u'gyromitra', 0.032882951, u'bikini', 0.025332911, u'bathing_cap', 0.018564777, u'tub', 0.013052377]
[u'parachute', 0.24702659, u'balloon', 0.10659714, u'flagpole', 0.095202632, u'airship', 0.063380115, u'container_ship', 0.049533878]
[u'shower_curtain', 0.053857096, u'crossword_puzzle', 0.027267078, u'prayer_rug', 0.024679784, u'balloon', 0.024288483, u'maze', 0.02192815]
[u'digital_clock', 0.19422223, u'shower_curtain', 0.0355101, u'tray', 0.021358283, u'maze', 0.019702863, u'window_screen', 0.017280545]
[u'shower_curtain', 0.10999881, u'prayer_rug', 0.074281678, u'quilt', 0.068859696, u'velvet', 0.031901814, u'doormat', 0.031701222]
[u'rule', 0.14816961, u'crossword_puzzle', 0.11737411, u'scoreboard', 0.090042062, u'envelope', 0.0742203, u'book_jacket', 0.048542906]
[u'shower_curtain', 0.11104838, u'window_screen', 0.10877015, u'washbasin', 0.025332432, u'window_shade', 0.019037351, u'sliding_door', 0.013908106]
[u'parachute', 0.20483288, u'balloon', 0.14642482, u'flagpole', 0.052608874, u'airship', 0.046469204, u'wing', 0.045950931]
[u'prayer_rug', 0.10642019, u'digital_clock', 0.068348758, u'balloon', 0.03944239, u'traffic_light', 0.03606654, u'quilt', 0.031345192]
[u'shower_curtain', 0.24689595, u'velvet', 0.078783877, u'prayer_rug', 0.061717015, u'quilt', 0.049332663, u'Windsor_tie', 0.045444082]
[u'digital_clock', 0.088956729, u'toilet_seat', 0.059790876, u'washbasin', 0.049420875, u'toilet_tissue', 0.042295847, u'shower_curtain', 0.039954953]
[u'crossword_puzzle', 0.15159425, u'digital_clock', 0.051040541, u'analog_clock', 0.038937543, u'traffic_light', 0.034678664, u'wall_clock', 0.019765737]
[u'shower_curtain', 0.40973452, u'prayer_rug', 0.028813085, u'quilt', 0.026839759, u'toilet_seat', 0.024109352, u'washbasin', 0.023441823]
[u'scoreboard', 0.18719758, u'maze', 0.10960181, u'envelope', 0.065989606, u'monitor', 0.06384974, u'prayer_rug', 0.055270653]
